id,yield
15000,8076.886058307118
15001,8086.863130826887
15002,8071.90802235357
15003,8076.886058307118
15004,8066.911305773579
15005,8090.194968178673
15006,8071.820183855331
15007,8090.194968178673
15008,8085.129093726886
15009,8070.243143125365
15010,8076.886058307118
15011,8076.886058307118
15012,8086.863130826887
15013,8065.1772686735785
15014,8091.859847406878
15015,8076.886058307118
15016,8090.194968178673
15017,8091.859847406878
15018,8086.863130826887
15019,8090.194968178673
15020,8090.194968178673
15021,8076.886058307118
15022,8076.886058307118
15023,8081.982190992417
15024,8090.194968178673
15025,8071.820183855331
15026,8090.194968178673
15027,8086.863130826887
15028,8091.859847406878
15029,8054.908378135
15030,8080.220215645135
15031,8078.550937535323
15032,8081.982190992417
15033,8090.194968178673
15034,8085.129093726886
15035,8085.216932225125
15036,8085.129093726886
15037,8076.886058307118
15038,8076.886058307118
15039,8081.982190992417
15040,8081.982190992417
15041,8090.194968178673
15042,8083.304675485701
15043,8090.194968178673
15044,8071.820183855331
15045,8090.194968178673
15046,8090.194968178673
15047,8091.859847406878
15048,8086.863130826887
15049,8071.820183855331
15050,8073.554220955332
15051,8083.55205299692
15052,8090.194968178673
15053,8091.859847406878
15054,8078.550937535323
15055,8080.220215645135
15056,8090.194968178673
15057,8071.820183855331
15058,8076.886058307118
15059,8090.194968178673
15060,8076.886058307118
15061,8081.982190992417
15062,8083.55205299692
15063,8083.55205299692
15064,8090.194968178673
15065,8071.820183855331
15066,8078.486178545133
15067,8083.55205299692
15068,8070.243143125365
15069,8086.863130826887
15070,8091.859847406878
15071,8071.90802235357
15072,8090.194968178673
15073,8090.194968178673
15074,8071.90802235357
15075,8078.486178545133
15076,8085.129093726886
15077,8091.859847406878
15078,8090.194968178673
15079,8083.55205299692
15080,8083.55205299692
15081,8090.194968178673
15082,8091.859847406878
15083,8054.908378135
15084,8090.194968178673
15085,8085.129093726886
15086,8078.486178545133
15087,8081.982190992417
15088,8083.55205299692
15089,8076.886058307118
15090,8073.554220955332
15091,8083.55205299692
15092,8083.55205299692
15093,8086.863130826887
15094,8091.859847406878
15095,8090.194968178673
15096,8073.554220955332
15097,8071.820183855331
15098,8085.129093726886
15099,8078.486178545133
15100,8091.859847406878
15101,8071.90802235357
15102,8090.194968178673
15103,8083.55205299692
